-21.629-0.041726i,-20.202-0.034434i,21.629-0.041726i,20.202-0.034434i,-18.482-0.0092884i,-17.574-0.059221i,-16.502-0.049926i,-15.696-0.091542i,18.482-0.0092884i,17.574-0.059221i,16.502-0.049926i,15.696-0.091542i,-13.896-0.008742i,-12.966-0.060176i,-11.992-0.13129i,-10.78-0.1115i,13.896-0.008742i,12.966-0.060176i,11.992-0.13129i,10.78-0.1115i,-8.8765-0.016498i,8.8765-0.016498i,-8.0689-0.016274i,8.0689-0.016274i,-6.9673-0.029629i,-6.4329-0.023529i,-5.0854-0.11425i,-4.465-0.055988i,6.9673-0.029629i,6.4329-0.023529i,5.0854-0.11425i,4.465-0.055988i,-2.997-0.060212i,2.997-0.060212i,-1.6579-0.074086i,-1.123-0.052346i,1.6579-0.074086i,1.123-0.052346i,1.1204e-15-0.13577i,4.4648e-16-0.047564i
-21.516-0.041783i,-20.092-0.034291i,21.516-0.041783i,20.092-0.034291i,-18.378-0.0094572i,-17.5-0.059417i,18.378-0.0094572i,17.5-0.059417i,-16.426-0.048535i,-15.608-0.092322i,16.426-0.048535i,15.608-0.092322i,-13.82-0.0086794i,-12.899-0.060397i,-11.941-0.13237i,-10.699-0.11047i,13.82-0.0086794i,12.899-0.060397i,11.941-0.13237i,10.699-0.11047i,-8.8195-0.016191i,8.8195-0.016191i,-8.027-0.016576i,8.027-0.016576i,-6.9455-0.031184i,-6.4069-0.0221i,-5.0616-0.11233i,-4.4391-0.05685i,6.9455-0.031184i,6.4069-0.0221i,5.0616-0.11233i,4.4391-0.05685i,-2.9901-0.060902i,2.9901-0.060902i,-1.6443-0.075688i,-1.1159-0.048638i,1.6443-0.075688i,1.1159-0.048638i,1.3233e-15-0.14513i,-8.7055e-17-0.043177i
-21.403-0.041835i,-19.982-0.034151i,21.403-0.041835i,19.982-0.034151i,-18.275-0.0096488i,-17.426-0.059581i,-16.35-0.047213i,-15.521-0.093038i,18.275-0.0096488i,17.426-0.059581i,16.35-0.047213i,15.521-0.093038i,-13.744-0.0086104i,-12.833-0.060672i,-11.892-0.13336i,13.744-0.0086104i,12.833-0.060672i,11.892-0.13336i,-10.618-0.10942i,10.618-0.10942i,-8.7627-0.015906i,8.7627-0.015906i,-7.9854-0.016927i,7.9854-0.016927i,-6.9244-0.032693i,-6.3804-0.020701i,-5.0381-0.11046i,-4.4131-0.057648i,6.9244-0.032693i,6.3804-0.020701i,5.0381-0.11046i,4.4131-0.057648i,-2.9835-0.061608i,2.9835-0.061608i,-1.6335-0.077093i,-1.1067-0.045089i,1.6335-0.077093i,1.1067-0.045089i,-1.3682e-15-0.15309i,1.5613e-15-0.040267i
21.29-0.041881i,-21.29-0.041881i,19.873-0.034016i,-19.873-0.034016i,18.173-0.0098652i,17.354-0.059713i,-18.173-0.0098652i,-17.354-0.059713i,16.274-0.045957i,15.434-0.093695i,-16.274-0.045957i,-15.434-0.093695i,13.668-0.008535i,12.766-0.061004i,11.842-0.13426i,-13.668-0.008535i,-12.766-0.061004i,-11.842-0.13426i,10.537-0.10835i,-10.537-0.10835i,8.7059-0.015643i,-8.7059-0.015643i,-7.9442-0.017332i,7.9442-0.017332i,6.9042-0.034139i,6.3535-0.019344i,5.015-0.10866i,4.387-0.058378i,-6.9042-0.034139i,-6.3535-0.019344i,-5.015-0.10866i,-4.387-0.058378i,2.9771-0.062327i,-2.9771-0.062327i,1.6255-0.078225i,1.0953-0.041776i,-1.6255-0.078225i,-1.0953-0.041776i,-1.8333e-15-0.16009i,8.4617e-16-0.038356i
21.179-0.041921i,-21.179-0.041921i,19.764-0.033884i,-19.764-0.033884i,18.071-0.010109i,17.281-0.059811i,-18.071-0.010109i,-17.281-0.059811i,16.199-0.044764i,15.347-0.094294i,-16.199-0.044764i,-15.347-0.094294i,13.593-0.0084534i,12.7-0.061398i,11.794-0.13509i,-13.593-0.0084534i,-12.7-0.061398i,-11.794-0.13509i,10.457-0.10726i,-10.457-0.10726i,8.6493-0.015406i,-8.6493-0.015406i,-7.9035-0.017793i,7.9035-0.017793i,6.8846-0.03551i,6.326-0.01804i,4.9922-0.10693i,4.3609-0.059035i,-6.8846-0.03551i,-6.326-0.01804i,-4.9922-0.10693i,-4.3609-0.059035i,2.9709-0.06306i,-2.9709-0.06306i,1.6202-0.079028i,1.0818-0.038758i,-1.6202-0.079028i,-1.0818-0.038758i,-2.1289e-16-0.16643i,-4.4071e-16-0.037163i
21.067-0.041955i,-21.067-0.041955i,19.656-0.033757i,-19.656-0.033757i,17.97-0.010382i,17.209-0.059872i,-17.97-0.010382i,-17.209-0.059872i,16.123-0.043629i,15.26-0.094839i,-16.123-0.043629i,-15.26-0.094839i,13.519-0.0083658i,12.633-0.061859i,11.745-0.13582i,-13.519-0.0083658i,-12.633-0.061859i,-11.745-0.13582i,10.377-0.10613i,-10.377-0.10613i,8.5928-0.015194i,7.8632-0.018315i,-8.5928-0.015194i,-7.8632-0.018315i,6.8658-0.036792i,6.2981-0.016798i,4.9698-0.10528i,4.3348-0.059619i,-6.8658-0.036792i,-6.2981-0.016798i,-4.9698-0.10528i,-4.3348-0.059619i,2.965-0.063805i,-2.965-0.063805i,1.6175-0.079476i,-1.6175-0.079476i,1.0664-0.036065i,-1.0664-0.036065i,9.3718e-17-0.17227i,1.2411e-15-0.036501i
-20.957-0.041982i,20.957-0.041982i,-19.548-0.033635i,19.548-0.033635i,-17.87-0.010688i,-17.138-0.059895i,17.87-0.010688i,17.138-0.059895i,-16.047-0.042549i,-15.174-0.095333i,16.047-0.042549i,15.174-0.095333i,-13.445-0.0082724i,-12.566-0.062392i,-11.698-0.13645i,13.445-0.0082724i,12.566-0.062392i,11.698-0.13645i,-10.298-0.10498i,10.298-0.10498i,-8.5364-0.01501i,-7.8234-0.018902i,8.5364-0.01501i,7.8234-0.018902i,6.8476-0.037975i,6.2697-0.015625i,4.9477-0.1037i,4.3087-0.060125i,-6.8476-0.037975i,-6.2697-0.015625i,-4.9477-0.1037i,-4.3087-0.060125i,2.9593-0.064561i,-2.9593-0.064561i,1.6172-0.079564i,-1.6172-0.079564i,1.0493-0.033703i,-1.0493-0.033703i,1.2799e-15-0.17775i,3.6039e-16-0.036241i
20.847-0.042003i,-20.847-0.042003i,19.441-0.033519i,-19.441-0.033519i,17.771-0.011031i,17.067-0.059875i,-17.771-0.011031i,-17.067-0.059875i,15.972-0.04152i,15.088-0.095777i,-15.972-0.04152i,-15.088-0.095777i,13.371-0.0081737i,12.5-0.063005i,11.65-0.13699i,-13.371-0.0081737i,-12.5-0.063005i,-11.65-0.13699i,10.22-0.10378i,-10.22-0.10378i,8.4801-0.014854i,7.7841-0.01956i,-8.4801-0.014854i,-7.7841-0.01956i,6.83-0.039048i,6.2409-0.014526i,4.9259-0.10221i,4.2826-0.060552i,-6.83-0.039048i,-6.2409-0.014526i,-4.9259-0.10221i,-4.2826-0.060552i,2.9539-0.065328i,-2.9539-0.065328i,1.6189-0.07931i,-1.6189-0.07931i,1.0308-0.031657i,-1.0308-0.031657i,-1.1788e-15-0.18295i,6.8191e-16-0.036283i
-20.738-0.042016i,20.738-0.042016i,-19.335-0.03341i,19.335-0.03341i,-17.673-0.011416i,-16.997-0.05981i,17.673-0.011416i,16.997-0.05981i,-15.896-0.04054i,-15.002-0.096176i,15.896-0.04054i,15.002-0.096176i,-13.298-0.0080701i,-12.433-0.063703i,-11.603-0.13741i,13.298-0.0080701i,12.433-0.063703i,11.603-0.13741i,-10.142-0.10255i,10.142-0.10255i,-8.4239-0.014728i,-7.7455-0.020294i,8.4239-0.014728i,7.7455-0.020294i,-6.813-0.040004i,-6.2117-0.013504i,-4.9044-0.1008i,-4.2565-0.0609i,6.813-0.040004i,6.2117-0.013504i,4.9044-0.1008i,4.2565-0.0609i,-2.9489-0.066103i,2.9489-0.066103i,-1.6225-0.078746i,1.6225-0.078746i,-1.011-0.0299i,1.011-0.0299i,5.6412e-16-0.18794i,-1.6448e-15-0.036554i
20.63-0.042022i,-20.63-0.042022i,19.229-0.033307i,-19.229-0.033307i,17.575-0.011847i,16.927-0.059695i,-17.575-0.011847i,-16.927-0.059695i,15.821-0.039604i,14.916-0.09653i,-15.821-0.039604i,-14.916-0.09653i,13.225-0.0079623i,12.366-0.064495i,11.557-0.13772i,-13.225-0.0079623i,-12.366-0.064495i,-11.557-0.13772i,10.065-0.10127i,-10.065-0.10127i,8.3678-0.014632i,7.7075-0.021109i,-8.3678-0.014632i,-7.7075-0.021109i,6.7963-0.040837i,6.1821-0.01256i,4.8831-0.099489i,4.2305-0.061167i,-6.7963-0.040837i,-6.1821-0.01256i,-4.8831-0.099489i,-4.2305-0.061167i,2.9441-0.066886i,-2.9441-0.066886i,1.6278-0.07791i,-1.6278-0.07791i,0.99032-0.028398i,-0.99032-0.028398i,1.1571e-15-0.19277i,-2.0476e-15-0.037i
20.522-0.04202i,-20.522-0.04202i,19.124-0.033212i,-19.124-0.033212i,17.479-0.01233i,16.857-0.059524i,-17.479-0.01233i,-16.857-0.059524i,15.745-0.03871i,14.831-0.096842i,-15.745-0.03871i,-14.831-0.096842i,13.153-0.0078509i,12.299-0.065391i,11.51-0.13791i,-13.153-0.0078509i,-12.299-0.065391i,-11.51-0.13791i,9.9888-0.099955i,-9.9888-0.099955i,8.3118-0.014566i,7.6702-0.022013i,-8.3118-0.014566i,-7.6702-0.022013i,6.78-0.04154i,6.1522-0.011695i,4.8621-0.098267i,4.2045-0.061353i,-6.78-0.04154i,-6.1522-0.011695i,-4.8621-0.098267i,-4.2045-0.061353i,2.9398-0.067675i,-2.9398-0.067675i,1.6344-0.076841i,-1.6344-0.076841i,0.96889-0.027116i,-0.96889-0.027116i,4.9594e-16-0.19747i,-1.2463e-15-0.037579i
